id,osm_id,class,name,points,sqm
577e72b2-1364-4851-9c66-aeaa2af77aa7,r13834513,maritime,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,9790,69.14916837906821
9b701e21-f263-4ca7-998d-e681440c1403,r195273,land,Moçambique,31675,67.03271535192901
d47f5538-d91b-49b5-82b5-f12cf2c87728,r114690,maritime,Texas,52866,66.6419171434572
673f13eb-704d-4d7b-b855-6e414920a19e,r1311341,maritime,España,29000,65.94342971578966
06806c4d-1acc-4a48-bb31-de7a7e70245b,r114690,land,Texas,42941,65.40081824696597
166e386a-2b15-45b0-9b23-fb0260657b7b,r2202162,land,France,66076,64.47993560907753
8558bf64-672a-4c8c-b5bf-5beda9a09af6,r153269,land,青海省,15564,63.653201149461914
c73464c9-1e03-4112-90ed-5d8f67a80056,r13834513,land,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,7121,63.484197561948896
e17665cf-8d99-477d-9b7d-f2f65a93eb0b,r54224,land,Suomi / Finland,39527,62.803991454077305
10ed145c-b9d4-4302-97af-37e46da77633,r195271,land,Zambia,32020,62.7184564680952
e6833949-f0e4-4c34-a1c6-e77b0f81c7a9,r1337397,maritime,Svalbard,2267,62.599073443724784
92675295-ebdb-449a-944b-eedb5c514a21,r303427,land,افغانستان,49018,62.54620681363951
c92e3125-7ffa-4cb2-adc6-eaf1e5ee9ff5,r4090664,maritime,Корякский округ,12928,61.88984783060458
3866e6b4-fefd-4789-977a-5070428fe1f2,r447325,maritime,Madagasikara / Madagascar,3032,61.63883015511997
004f2ebe-cf53-4921-b927-07325f91cc08,r1059668,land,Norge,60912,60.28967696339214
5621599d-9d84-469f-81b9-f57d613e81ba,r7660853,land,Kenora District,14711,59.87927618012514
c5a891d6-1946-40e0-85e4-c6b7671e9fc9,r7660852,land,Unorganized Kenora District,65134,58.81265127365496
b40be2e6-9eca-4031-a003-293a9b5887da,r50371,land,မြန်မာ,59955,58.25922940152168
c82d8260-07b9-4ff7-a3c7-228be7ce43d9,r6804541,land,Pastoral Unincorporated Area,20324,57.73129610209932
227e185c-0628-4edf-9e7f-0620ea768b02,r192799,maritime,Soomaaliya الصومال,1256,57.692185684662164
7a51f3f5-ba52-4c9e-8e39-ccecc8da6081,r145730,land,Забайкальский край,21415,57.670461739776634
76264e44-f394-43b6-b69e-071657486469,r199073,land,黑龙江省,15953,56.90358209248213
ae536a2c-bc78-45bd-92bd-f0cfdd1ce81f,r1399833,maritime,Булунский улус,94380,56.77265246716591
b1831b6d-1a3f-4941-abca-0b9418a0d6db,r62149,maritime,United Kingdom,38345,56.51507772236737
659bc6ac-bdba-4a2e-ac5b-2cf06abb3b8b,r274048,maritime,Ненецкий автономный округ,11242,56.01595180759803
6c2cbd7a-ba9d-4902-8487-6128d04eed57,r1328729,maritime,Заполярный район,11945,56.006205712567365
739f57ca-c2f4-4407-adfe-44d807d318b6,r2605296,maritime,North Slope Borough,1407,55.94840707903506
9efda422-3caf-46db-8ed9-d45dc1282eb2,r1399833,land,Булунский улус,72556,55.22143633065913
096d8ac3-3547-41b9-9a30-8f3298139884,r1949879,maritime,Анадырский район,19434,54.580495660286275
2b3008cf-89a6-4595-b376-1154a66e5074,r1949879,land,Анадырский район,16907,54.30720817711809
8ec6eec9-c7a8-4e4f-af2c-1f6fed523cd0,r391196,land,Newfoundland and Labrador,39180,54.246509892738985
d7c5e5ff-be46-455a-a6b6-965760e3a336,r1311341,land,España,28320,53.60074942322455
17de2662-7cde-4865-abb1-c588668497b3,r3218798,land,ⴰⴳⴰⴷⴻⵣ,1116,53.57742331467374
